Festival Name,City,Country,Start Date,End Date,Latitude,Longitude,Vibe,Camping,Expected Attendance,Primary Language,Medical: Doctor (Local),Medical: Allergy (Local),Legal: Free To Go? (Local),Legal: Call Embassy (Local),Script: Lost Squad,Script: Substance,Script: Medical Tent,Script: Charging
Coachella (W2),Indio,USA,2026-04-17,2026-04-19,33.678,-116.236,Boutique/Multi,Yes,"125,000",English,I need a doctor.,I am allergic to penicillin.,Am I free to go?,I want to call my embassy.,I have lost my friends. Can I use your phone or Wi-Fi?,"My friend has taken something and needs help. No police, please.",Where is the medical tent / welfare area?,My phone is dying. Where is the charging station?
EDC Las Vegas,Las Vegas,USA,2026-05-15,2026-05-17,36.272,-115.01,Neon EDM,Yes,"525,000",English,I need a doctor.,I am allergic to penicillin.,Am I free to go?,I want to call my embassy.,I have lost my friends. Can I use your phone or Wi-Fi?,"My friend has taken something and needs help. No police, please.",Where is the medical tent / welfare area?,My phone is dying. Where is the charging station?
Bearded Theory,Derbyshire,UK,2026-05-21,2026-05-24,52.747,-1.652,Eclectic/Family,Yes,"15,000",English,I need a doctor.,I am allergic to penicillin.,Am I free to go?,I want to call my embassy.,I have lost my friends. Can I use your phone or Wi-Fi?,"My friend has taken something and needs help. No police, please.",Where is the medical tent / welfare area?,My phone is dying. Where is the charging station?
Primavera Sound,Barcelona,Spain,2026-06-04,2026-06-06,41.411,2.224,Indie/Electronic,No,"150,000",Spanish,Necesito un médico.,Soy alérgico a la penicilina.,¿Soy libre de irme?,Quiero llamar a mi embajada.,He perdido a mis amigos. ¿Puedo usar su teléfono o Wi-Fi?,"Mi amigo ha tomado algo y necesita ayuda. Sin policía, por favor.",¿Dónde está la carpa médica o el área de bienestar?,Mi teléfono se está agotando. ¿Dónde está la estación de carga?
Bonnaroo,Manchester,USA,2026-06-11,2026-06-14,35.474,-86.085,Alternative/Rave,Yes,"80,000",English,I need a doctor.,I am allergic to penicillin.,Am I free to go?,I want to call my embassy.,I have lost my friends. Can I use your phone or Wi-Fi?,"My friend has taken something and needs help. No police, please.",Where is the medical tent / welfare area?,My phone is dying. Where is the charging station?
Download Festival,Donington,UK,2026-06-12,2026-06-14,52.83,-1.377,Rock/Metal,Yes,"100,000",English,I need a doctor.,I am allergic to penicillin.,Am I free to go?,I want to call my embassy.,I have lost my friends. Can I use your phone or Wi-Fi?,"My friend has taken something and needs help. No police, please.",Where is the medical tent / welfare area?,My phone is dying. Where is the charging station?
Sónar,Barcelona,Spain,2026-06-18,2026-06-20,41.343,2.127,Cerebral/Techno,No,"80,000",Spanish,Necesito un médico.,Soy alérgico a la penicilina.,¿Soy libre de irme?,Quiero llamar a mi embajada.,He perdido a mis amigos. ¿Puedo usar su teléfono o Wi-Fi?,"Mi amigo ha tomado algo y necesita ayuda. Sin policía, por favor.",¿Dónde está la carpa médica o el área de bienestar?,Mi teléfono se está agotando. ¿Dónde está la estación de carga?
Isle of Wight Festival,Newport,UK,2026-06-18,2026-06-21,50.708,-1.284,Legends/Pop,Yes,"50,000",English,I need a doctor.,I am allergic to penicillin.,Am I free to go?,I want to call my embassy.,I have lost my friends. Can I use your phone or Wi-Fi?,"My friend has taken something and needs help. No police, please.",Where is the medical tent / welfare area?,My phone is dying. Where is the charging station?
Parklife,Manchester,UK,2026-06-20,2026-06-21,53.535,-2.253,Urban/Electronic,No,"80,000",English,I need a doctor.,I am allergic to penicillin.,Am I free to go?,I want to call my embassy.,I have lost my friends. Can I use your phone or Wi-Fi?,"My friend has taken something and needs help. No police, please.",Where is the medical tent / welfare area?,My phone is dying. Where is the charging station?
Glastonbury (Fallow Year),Pilton,UK,2026-06-24,2026-06-28,51.155,-2.585,Legends/Multi,Yes,"210,000",English,I need a doctor.,I am allergic to penicillin.,Am I free to go?,I want to call my embassy.,I have lost my friends. Can I use your phone or Wi-Fi?,"My friend has taken something and needs help. No police, please.",Where is the medical tent / welfare area?,My phone is dying. Where is the charging station?
Hideout,Novalja,Croatia,2026-06-30,2026-07-03,44.558,14.887,Beach Party,No,"25,000",Croatian,Trebam liječnika.,Alergičan sam na penicilin.,Mogu li ići?,Želim nazvati svoje veleposlanstvo.,Izgubio sam prijatelje. Mogu li koristiti vaš telefon ili Wi-Fi?,"Moj prijatelj je nešto uzeo i treba mu pomoć. Bez policije, molim.",Gdje je medicinski šator / zona za dobrobit?,Mobitel mi je prazan. Gdje je stanica za punjenje?
Hideout Festival,Pag Island,Croatia,2026-06-30,2026-07-03,44.558,14.887,Beach Party,No,"25,000",Croatian,Trebam liječnika.,Alergičan sam na penicilin.,Mogu li ići?,Želim nazvati svoje veleposlanstvo.,Izgubio sam prijatelje. Mogu li koristiti vaš telefon ili Wi-Fi?,"Moj prijatelj je nešto uzeo i treba mu pomoć. Bez policije, molim.",Gdje je medicinski šator / zona za dobrobit?,Mobitel mi je prazan. Gdje je stanica za punjenje?
Kappa FuturFestival,Turin,Italy,2026-07-03,2026-07-05,45.091,7.675,Industrial Techno,No,"90,000",Italian,Ho bisogno di un dottore.,Sono allergico alla penicillina.,Posso andare?,Voglio chiamare la mia ambasciata.,Ho perso i miei amici. Posso usare il tuo telefono o il Wi-Fi?,"Il mio amico ha preso qualcosa e ha bisogno di aiuto. Niente polizia, per favore.",Dov'è la tenda medica / l'area benessere?,Il mio telefono si sta scaricando. Dov’è la ricarica?
Parcels of Sound,Lisbon,Portugal,2026-07-09,2026-07-11,38.698,-9.204,Alternative/Indie,No,"30,000",Portuguese,Preciso de um médico.,Sou alérgico à penicilina.,Estou livre para ir?,Quero ligar para a minha embaixada.,Perdi os meus amigos. Posso usar o seu telemóvel ou Wi-Fi?,"O meu amigo tomou algo e precisa de ajuda. Sem polícia, por favor.",Onde fica a tenda médica?,Onde fica o posto de carregamento?
Ultra Europe,Split,Croatia,2026-07-10,2026-07-12,43.521,16.442,EDM/House,No,"150,000",Croatian,Trebam liječnika.,Alergičan sam na penicilin.,Mogu li ići?,Želim nazvati svoje veleposlanstvo.,Izgubio sam prijatelje. Mogu li koristiti vaš telefon ili Wi-Fi?,"Moj prijatelj je nešto uzeo i treba mu pomoć. Bez policije, molim.",Gdje je medicinski šator / zona za dobrobit?,Mobitel mi je prazan. Gdje je stanica za punjenje?
TRNSMT,Glasgow,UK,2026-07-10,2026-07-12,55.85,-4.24,Indie/Rock,No,"50,000",English,I need a doctor.,I am allergic to penicillin.,Am I free to go?,I want to call my embassy.,I have lost my friends. Can I use your phone or Wi-Fi?,"My friend has taken something and needs help. No police, please.",Where is the medical tent / welfare area?,My phone is dying. Where is the charging station?
Wireless Festival,London,UK,2026-07-10,2026-07-12,51.571,-0.096,Hip-Hop/Rap,No,"50,000",English,I need a doctor.,I am allergic to penicillin.,Am I free to go?,I want to call my embassy.,I have lost my friends. Can I use your phone or Wi-Fi?,"My friend has taken something and needs help. No police, please.",Where is the medical tent / welfare area?,My phone is dying. Where is the charging station?
Tomorrowland (W1),Boom,Belgium,2026-07-17,2026-07-19,51.091,4.368,Mainstream EDM,Yes,"200,000",Dutch/French,Dokter nodig / Besoin d'un docteur.,Allergie penicilline.,Mag ik gaan? / Puis-je partir?,Ambassade bellen / Appeler l'ambassade.,Vrienden kwijt / Perdu mes amis.,"Hulp nodig, geen politie / Aide, pas de police.",EHBO / Tente médicale?,Opladen / Charge?
Parookaville,Weeze,Germany,2026-07-17,2026-07-19,51.602,6.142,Electronic City,Yes,"210,000",German,Ich brauche einen Arzt.,Ich bin allergisch gegen Penicillin.,Darf ich gehen?,Ich möchte meine Botschaft anrufen.,Ich habe meine Freunde verloren. Kann ich Ihr Telefon oder WLAN benutzen?,Mein Freund hat etwas genommen und braucht Hilfe. Bitte keine Polizei.,Wo ist das Sanitätszelt / der Welfare-Bereich?,Ich brauche eine Ladestation.
Elrow Town London,London,UK,2026-07-18,2026-07-19,51.515,0.015,Theatrical/House,No,"25,000",English,I need a doctor.,I am allergic to penicillin.,Am I free to go?,I want to call my embassy.,I have lost my friends. Can I use your phone or Wi-Fi?,"My friend has taken something and needs help. No police, please.",Where is the medical tent / welfare area?,My phone is dying. Where is the charging station?
Latitude Festival,Southwold,UK,2026-07-23,2026-07-26,52.348,1.597,Arts/Indie,Yes,"40,000",English,I need a doctor.,I am allergic to penicillin.,Am I free to go?,I want to call my embassy.,I have lost my friends. Can I use your phone or Wi-Fi?,"My friend has taken something and needs help. No police, please.",Where is the medical tent / welfare area?,My phone is dying. Where is the charging station?
Tomorrowland (W2),Boom,Belgium,2026-07-24,2026-07-26,51.091,4.368,Mainstream EDM,Yes,"200,000",Dutch/French,Dokter nodig / Besoin d'un docteur.,Allergie penicilline.,Mag ik gaan? / Puis-je partir?,Ambassade bellen / Appeler l'ambassade.,Vrienden kwijt / Perdu mes amis.,"Hulp nodig, geen politie / Aide, pas de police.",EHBO / Tente médicale?,Opladen / Charge?
Junction 2,London,UK,2026-07-24,2026-07-26,51.492,-0.301,Techno/Progressive,No,"25,000",English,I need a doctor.,I am allergic to penicillin.,Am I free to go?,I want to call my embassy.,I have lost my friends. Can I use your phone or Wi-Fi?,"My friend has taken something and needs help. No police, please.",Where is the medical tent / welfare area?,My phone is dying. Where is the charging station?
Wilderness Festival,Oxfordshire,UK,2026-07-30,2026-08-02,51.848,-1.458,Boutique/Luxury,Yes,"20,000",English,I need a doctor.,I am allergic to penicillin.,Am I free to go?,I want to call my embassy.,I have lost my friends. Can I use your phone or Wi-Fi?,"My friend has taken something and needs help. No police, please.",Where is the medical tent / welfare area?,My phone is dying. Where is the charging station?
Boardmasters,Newquay,UK,2026-08-05,2026-08-09,50.435,-5.034,Surf/Electronic,Yes,"50,000",English,I need a doctor.,I am allergic to penicillin.,Am I free to go?,I want to call my embassy.,I have lost my friends. Can I use your phone or Wi-Fi?,"My friend has taken something and needs help. No police, please.",Where is the medical tent / welfare area?,My phone is dying. Where is the charging station?
Untold Festival,Cluj-Napoca,Romania,2026-08-06,2026-08-09,46.768,23.572,Stadium EDM,No,"470,000",Romanian,Am nevoie de un doctor.,Sunt alergic la penicilină.,Sunt liber să plec?,Vreau să-mi sun ambasada.,Mi-am pierdut prietenii.,Prietenul meu are nevoie de ajutor. Fără poliție.,Unde este cortul medical?,Unde este stația de încărcare?
Lollapalooza Chicago,Chicago,USA,2026-08-06,2026-08-09,41.872,-87.619,Multi-genre,No,"460,000",English,I need a doctor.,I am allergic to penicillin.,Am I free to go?,I want to call my embassy.,I have lost my friends. Can I use your phone or Wi-Fi?,"My friend has taken something and needs help. No police, please.",Where is the medical tent / welfare area?,My phone is dying. Where is the charging station?
Houghton Festival,Norfolk,UK,2026-08-06,2026-08-09,52.825,0.658,Underground/Electronic,Yes,"10,000",English,I need a doctor.,I am allergic to penicillin.,Am I free to go?,I want to call my embassy.,I have lost my friends. Can I use your phone or Wi-Fi?,"My friend has taken something and needs help. No police, please.",Where is the medical tent / welfare area?,My phone is dying. Where is the charging station?
Sziget Festival,Budapest,Hungary,2026-08-11,2026-08-15,47.553,19.055,Multi-genre,Yes,"416,000",Hungarian,Orvosra van szükségem.,Allergiás vagyok a penicillinre.,Szabadon távozhatok?,Szeretném felhívni a nagykövetségemet.,Elvesztettem a barátaimat.,A barátom bevett valamit. Ne hívjanak rendőrt.,Hol van az orvosi sátor?,Hol van a töltőállomás?
Boomtown Fair,Winchester,UK,2026-08-12,2026-08-16,51.086,-1.243,Immersive/DnB,Yes,"76,000",English,I need a doctor.,I am allergic to penicillin.,Am I free to go?,I want to call my embassy.,I have lost my friends. Can I use your phone or Wi-Fi?,"My friend has taken something and needs help. No police, please.",Where is the medical tent / welfare area?,My phone is dying. Where is the charging station?
All Points East,London,UK,2026-08-14,2026-08-23,51.536,-0.038,Alternative/Indie,No,"50,000",English,I need a doctor.,I am allergic to penicillin.,Am I free to go?,I want to call my embassy.,I have lost my friends. Can I use your phone or Wi-Fi?,"My friend has taken something and needs help. No police, please.",Where is the medical tent / welfare area?,My phone is dying. Where is the charging station?
Green Man,Brecon Beacons,UK,2026-08-20,2026-08-23,51.859,-3.161,Folk/Indie,Yes,"20,000",English,I need a doctor.,I am allergic to penicillin.,Am I free to go?,I want to call my embassy.,I have lost my friends. Can I use your phone or Wi-Fi?,"My friend has taken something and needs help. No police, please.",Where is the medical tent / welfare area?,My phone is dying. Where is the charging station?
Creamfields,Cheshire,UK,2026-08-27,2026-08-30,53.337,-2.614,Hard Dance/EDM,Yes,"70,000",English,I need a doctor.,I am allergic to penicillin.,Am I free to go?,I want to call my embassy.,I have lost my friends. Can I use your phone or Wi-Fi?,"My friend has taken something and needs help. No police, please.",Where is the medical tent / welfare area?,My phone is dying. Where is the charging station?
Reading Festival,Reading,UK,2026-08-27,2026-08-30,51.464,-0.985,Rock/Alternative,Yes,"105,000",English,I need a doctor.,I am allergic to penicillin.,Am I free to go?,I want to call my embassy.,I have lost my friends. Can I use your phone or Wi-Fi?,"My friend has taken something and needs help. No police, please.",Where is the medical tent / welfare area?,My phone is dying. Where is the charging station?
Leeds Festival,Leeds,UK,2026-08-27,2026-08-30,53.867,-1.372,Rock/Alternative,Yes,"105,000",English,I need a doctor.,I am allergic to penicillin.,Am I free to go?,I want to call my embassy.,I have lost my friends. Can I use your phone or Wi-Fi?,"My friend has taken something and needs help. No police, please.",Where is the medical tent / welfare area?,My phone is dying. Where is the charging station?
Lost Village,Lincolnshire,UK,2026-08-27,2026-08-30,53.165,-0.638,Boutique/Techno,Yes,"15,000",English,I need a doctor.,I am allergic to penicillin.,Am I free to go?,I want to call my embassy.,I have lost my friends. Can I use your phone or Wi-Fi?,"My friend has taken something and needs help. No police, please.",Where is the medical tent / welfare area?,My phone is dying. Where is the charging station?
Shambala,Northamptonshire,UK,2026-08-27,2026-08-30,52.427,-0.957,Creative/Eco,Yes,"15,000",English,I need a doctor.,I am allergic to penicillin.,Am I free to go?,I want to call my embassy.,I have lost my friends. Can I use your phone or Wi-Fi?,"My friend has taken something and needs help. No police, please.",Where is the medical tent / welfare area?,My phone is dying. Where is the charging station?
Tomorrowland Thailand,Chonburi,Thailand,2026-12-11,2026-12-13,12.898,100.985,Fantasy EDM,Yes,"150,000",Thai,ฉันต้องการหมอ (Chǎn dtâung-gaan mǎu),ฉันแพ้ยาเพนิซิลลิน (Chǎn pháe yaa pay-nee-sil-lin),ฉันไปได้หรือยัง? (Chǎn bpai dâai rǔu yang?),ฉันต้องการโทรหาสถานทูต (Chǎn dtâung-gaan tō hǎa sà-thǎan-thôot),ฉันหลงกับเพื่อน ขอใช้โทรศัพท์หรือไวไฟได้ไหม (Chǎn lǒng gàp pêuuan. Kǎu chái tō-rá-sàp rǔu wai-fai dâai mǎi?),เพื่อนฉันกินบางอย่างเข้าไปและต้องการความช่วยเหลือ โปรดอย่าเรียกตำรวจ (Pêuuan chǎn gin baang yàang khâo bpai... bpròat yàa rîak dtam-rùat),เต็นท์พยาบาล / โซนสวัสดิการ อยู่ที่ไหน (Dten phá-yaa-baan / sōn sà-wàt-dì-gaan yùu thîe nǎi?),แบตโทรศัพท์กำลังจะหมด ที่ชาร์จอยู่ที่ไหน (Bàet tō-rá-sàp gam-lang jà mòt. Thîe cháat yùu thîe nǎi?)
Wonderfruit,Pattaya,Thailand,2026-12-11,2026-12-13,12.909,101.004,Eco/Boutique,Yes,"25,000",Thai,ฉันต้องการหมอ (Chǎn dtâung-gaan mǎu),ฉันแพ้ยาเพนิซิลลิน (Chǎn pháe yaa pay-nee-sil-lin),ฉันไปได้หรือยัง? (Chǎn bpai dâai rǔu yang?),ฉันต้องการโทรหาสถานทูต (Chǎn dtâung-gaan tō hǎa sà-thǎan-thôot),ฉันหลงกับเพื่อน ขอใช้โทรศัพท์หรือไวไฟได้ไหม (Chǎn lǒng gàp pêuuan. Kǎu chái tō-rá-sàp rǔu wai-fai dâai mǎi?),เพื่อนฉันกินบางอย่างเข้าไปและต้องการความช่วยเหลือ โปรดอย่าเรียกตำรวจ (Pêuuan chǎn gin baang yàang khâo bpai... bpròat yàa rîak dtam-rùat),เต็นท์พยาบาล / โซนสวัสดิการ อยู่ที่ไหน (Dten phá-yaa-baan / sōn sà-wàt-dì-gaan yùu thîe nǎi?),แบตโทรศัพท์กำลังจะหมด ที่ชาร์จอยู่ที่ไหน (Bàet tō-rá-sàp gam-lang jà mòt. Thîe cháat yùu thîe nǎi?)
Beyond The Valley,Barunah Plains,Australia,2026-12-28,2027-01-01,-38.118,143.911,Multi-genre,Yes,"30,000",English,I need a doctor.,I am allergic to penicillin.,Am I free to go?,I want to call my embassy.,I have lost my friends. Can I use your phone or Wi-Fi?,"My friend has taken something and needs help. No police, please.",Where is the medical tent / welfare area?,My phone is dying. Where is the charging station?
